Wavelength [µm],Blue,Green,Red ,NIR
0.32,0.000,0.000,0.000,0.000
0.33,0.000,0.000,0.000,0.000
0.34,0.000,0.000,0.000,0.000
0.35,0.000,0.000,0.000,0.000
0.36,0.000,0.000,0.000,0.000
0.37,0.000,0.000,0.000,0.000
0.38,0.000,0.000,0.000,0.000
0.39,0.000,0.000,0.000,0.000
0.4,0.000,0.000,0.000,0.000
0.41,0.027,0.000,0.000,0.000
0.42,0.000,0.000,0.000,0.000
0.43,0.000,0.000,0.000,0.000
0.44,0.054,0.000,0.000,0.000
0.45,0.081,0.029,0.000,0.000
0.46,0.946,0.206,0.074,0.000
0.47,1.000,0.353,0.111,0.000
0.48,0.946,0.441,0.148,0.000
0.49,0.865,0.471,0.111,0.000
0.5,0.757,0.588,0.148,0.000
0.51,0.622,0.765,0.148,0.000
0.52,0.432,0.912,0.111,0.000
0.53,0.270,0.971,0.111,0.000
0.54,0.189,1.000,0.111,0.000
0.55,0.081,0.941,0.111,0.000
0.56,0.027,0.853,0.111,0.000
0.57,0.027,0.765,0.111,0.000
0.58,0.000,0.647,0.185,0.000
0.59,0.000,0.500,0.481,0.000
0.6,0.000,0.353,0.852,0.000
0.61,0.000,0.176,1.000,0.000
0.62,0.000,0.118,1.000,0.000
0.63,0.000,0.059,1.000,0.100
0.64,0.000,0.059,0.926,0.000
0.65,0.000,0.029,0.889,0.000
0.66,0.027,0.029,0.852,0.000
0.67,0.027,0.059,0.815,0.000
0.68,0.027,0.059,0.704,0.000
0.69,0.027,0.088,0.519,0.100
0.7,0.000,0.000,0.037,0.000
0.71,0.000,0.000,0.000,0.000
0.72,0.000,0.000,0.000,0.000
0.73,0.000,0.000,0.000,0.000
0.74,0.000,0.000,0.000,0.000
0.75,0.000,0.000,0.000,0.000
0.76,0.000,0.000,0.000,0.000
0.77,0.000,0.000,0.000,0.400
0.78,0.000,0.000,0.000,0.900
0.79,0.000,0.000,0.000,1.000
0.8,0.000,0.000,0.000,0.900
0.81,0.000,0.000,0.000,0.800
0.82,0.000,0.000,0.000,0.800
0.83,0.000,0.000,0.000,0.700
0.84,0.000,0.000,0.000,0.700
0.85,0.000,0.000,0.000,0.600
0.86,0.000,0.000,0.000,0.500
0.87,0.000,0.000,0.000,0.300
0.88,0.000,0.000,0.000,0.100
0.89,0.000,0.000,0.000,0.000
0.9,0.000,0.000,0.000,0.000
0.91,0.000,0.000,0.000,0.000
0.92,0.000,0.000,0.000,0.000
0.93,0.000,0.000,0.000,0.000
0.94,0.000,0.000,0.000,0.000
0.95,0.000,0.000,0.000,0.000
0.96,0.000,0.000,0.000,0.000
0.97,0.000,0.000,0.000,0.000
0.98,0.000,0.000,0.000,0.000
0.99,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000