WL [µm],Blue,Green,Red ,NIR
0.4,0.013,0.005,0.004,0.000
0.41,0.020,0.006,0.004,0.000
0.42,0.007,0.004,0.001,0.000
0.43,0.012,0.005,0.002,0.002
0.44,0.039,0.009,0.002,0.000
0.45,0.175,0.038,0.008,0.001
0.46,0.875,0.187,0.027,0.001
0.47,1.000,0.258,0.029,0.002
0.48,0.997,0.378,0.031,0.005
0.49,0.945,0.531,0.030,0.001
0.5,0.836,0.675,0.027,0.001
0.51,0.705,0.826,0.032,0.002
0.52,0.525,0.934,0.048,0.002
0.53,0.366,0.988,0.062,0.001
0.54,0.285,1.000,0.042,0.002
0.55,0.208,0.956,0.022,0.002
0.56,0.135,0.892,0.023,0.002
0.57,0.090,0.804,0.066,0.003
0.58,0.074,0.687,0.384,0.004
0.59,0.065,0.538,0.864,0.006
0.6,0.056,0.376,0.980,0.002
0.61,0.050,0.241,1.000,0.002
0.62,0.051,0.163,0.986,0.005
0.63,0.056,0.139,0.978,0.004
0.64,0.072,0.121,0.944,0.002
0.65,0.092,0.107,0.910,0.003
0.66,0.117,0.106,0.880,0.003
0.67,0.130,0.122,0.833,0.014
0.68,0.116,0.150,0.796,0.007
0.69,0.099,0.133,0.551,0.059
0.7,0.013,0.026,0.088,0.014
0.71,0.000,0.002,0.007,0.002
0.72,0.000,0.000,0.001,0.007
0.73,0.000,0.000,0.000,0.001
0.74,0.000,0.000,0.000,0.001
0.75,0.000,0.000,0.000,0.004
0.76,0.000,0.000,0.000,0.139
0.77,0.000,0.000,0.000,0.822
0.78,0.000,0.000,0.000,1.000
0.79,0.000,0.000,0.000,0.960
0.8,0.001,0.001,0.002,0.918
0.81,0.006,0.006,0.009,0.849
0.82,0.006,0.005,0.006,0.800
0.83,0.004,0.003,0.004,0.761
0.84,0.004,0.004,0.005,0.702
0.85,0.007,0.007,0.007,0.652
0.86,0.013,0.011,0.012,0.609
0.87,0.015,0.013,0.015,0.522
0.88,0.013,0.011,0.012,0.133
0.89,0.009,0.008,0.009,0.008
0.9,0.006,0.006,0.006,0.000
0.91,0.005,0.005,0.005,0.000
0.92,0.005,0.004,0.005,0.000
0.93,0.005,0.004,0.005,0.000
0.94,0.005,0.005,0.005,0.000
0.95,0.005,0.005,0.005,0.000
0.96,0.005,0.004,0.005,0.000
0.97,0.004,0.003,0.004,0.000
0.98,0.003,0.003,0.003,0.000
0.99,0.002,0.002,0.002,0.000
0.93,0.000,0.000,0.000,0.000
0.94,0.000,0.000,0.000,0.000
0.95,0.000,0.000,0.000,0.000
0.96,0.000,0.000,0.000,0.000
0.97,0.000,0.000,0.000,0.000
0.98,0.000,0.000,0.000,0.000
0.99,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000